Enhancer_name	Y_true_labels	Y_predicted_labels	Prob_Class0	Prob_class1
chr10_76513161_76514681	1.0	0.0	0.560032046186	0.439967953814
chr10_120439885_120440015	0.0	0.0	0.772210441092	0.227789558908
chr10_44787800_44787929	0.0	0.0	0.741216134757	0.258783865243
chr2_187713400_187713527	0.0	1.0	0.150554072606	0.849445927394
chr1_170042588_170042670	1.0	1.0	0.23565729095	0.76434270905
chr20_30555465_30555590	0.0	0.0	0.860559232818	0.139440767182
chr12_280953_281076	0.0	0.0	0.750070213177	0.249929786823
chr6_139004400_139004530	0.0	0.0	0.862154360637	0.137845639363
chr6_37155093_37155653	1.0	0.0	0.768918599593	0.231081400407
chrX_39872499_39873023	1.0	0.0	0.806504776885	0.193495223115
chr6_31829800_31829921	0.0	0.0	0.745432454411	0.254567545589
chr11_28128920_28129110	1.0	0.0	0.527867221434	0.472132778566
chr16_72254566_72255825	1.0	0.0	0.581126199448	0.418873800552
chr12_1770869_1771337	1.0	1.0	0.0915741291316	0.908425870868
chr8_145871003_145871133	0.0	1.0	0.179139426038	0.820860573962
chr5_137785541_137785670	0.0	1.0	0.15722997965	0.84277002035
chr4_153794142_153794272	0.0	1.0	0.0981337500477	0.901866249952
chr17_55190535_55190665	1.0	1.0	0.348703222246	0.651296777754
chr17_39686458_39686891	1.0	1.0	0.091294974408	0.908705025592
chr22_47313322_47313452	0.0	0.0	0.705912950387	0.294087049613
chr9_82590314_82593174	1.0	0.0	0.830266353036	0.169733646964
chr8_29994671_29994800	0.0	0.0	0.987204061311	0.0127959386894
chr8_93030368_93033345	1.0	0.0	0.62557028229	0.37442971771
chr1_234812067_234812214	1.0	1.0	0.0385516189437	0.961448381056
chr19_32452701_32453894	1.0	0.0	0.58272955497	0.41727044503
chr16_55357323_55357453	0.0	0.0	0.742582934445	0.257417065555
chr1_9831836_9831966	0.0	1.0	0.149264381056	0.850735618944
chr9_71634884_71635015	1.0	0.0	0.797199687257	0.202800312743
chr17_65235213_65235343	0.0	0.0	0.752354042611	0.247645957389
chr17_60568660_60568790	0.0	0.0	0.984044984532	0.0159550154679
chr9_71728196_71728449	1.0	0.0	0.552153606662	0.447846393338
chr16_78510608_78511944	1.0	0.0	0.835301027199	0.164698972801
chr16_51657810_51658716	1.0	0.0	0.72542340642	0.27457659358
chr14_64973600_64973725	0.0	1.0	0.366640228614	0.633359771386
chr10_76177765_76179000	1.0	0.0	0.620073642181	0.379926357819
chr2_240238754_240239047	1.0	0.0	0.842864070404	0.157135929596
chr6_31761868_31762215	1.0	1.0	0.113878856057	0.886121143943
chr1_117560411_117560541	1.0	1.0	0.414399865776	0.585600134224
chr1_63443534_63444884	1.0	1.0	0.450657848921	0.549342151079
chr7_9271308_9272358	1.0	0.0	0.513474669219	0.486525330781
chr9_119246279_119246400	0.0	0.0	0.960231785735	0.0397682142646
chr2_28377366_28377496	0.0	0.0	0.994251593914	0.00574840608609
chr7_115993663_115997109	1.0	1.0	0.113538563573	0.886461436427
chr1_1840449_1840835	1.0	0.0	0.935125544592	0.0648744554075
chr1_207823430_207823599	1.0	0.0	0.834573908574	0.165426091426
chr4_109531908_109533465	1.0	0.0	0.672402748693	0.327597251307
chr1_88686076_88687740	1.0	0.0	0.57724451703	0.42275548297
chr3_71322810_71322940	0.0	1.0	0.0295644976235	0.970435502376
chr1_51165195_51166786	1.0	0.0	0.669538473639	0.330461526361
chr8_130323839_130324175	1.0	1.0	0.290467748652	0.709532251348
chr2_66297527_66299214	1.0	0.0	0.681900832296	0.318099167704
chr9_135016649_135016773	0.0	0.0	0.997369331932	0.00263066806802
chr13_98985235_98985365	0.0	0.0	0.710989758662	0.289010241338
chr12_111495397_111496252	1.0	0.0	0.703307440298	0.296692559702
